               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.031452,            0.021182,           0.0017133,             0.87001,             0.85211,             0.90784,             0.53557,            0.031623,            0.012976,          0.00066925,           0.0097491,           0.0097491,           0.0097491
                  36,             0.03125,            0.020726,           0.0015471,             0.84813,             0.79682,             0.86944,             0.49971,            0.033712,            0.014432,          0.00084749,           0.0097343,           0.0097343,           0.0097343
                  37,            0.030687,            0.020785,           0.0016682,             0.89341,              0.8746,             0.93563,             0.57336,            0.030766,             0.01258,           0.0004768,           0.0097191,           0.0097191,           0.0097191
                  38,            0.030386,            0.020724,           0.0015842,             0.88341,             0.89805,              0.9404,             0.58356,            0.030126,            0.012083,          0.00076838,           0.0097035,           0.0097035,           0.0097035
                  39,            0.030226,            0.019857,           0.0015584,             0.90072,             0.86639,             0.93313,             0.58132,            0.030177,            0.012399,          0.00054275,           0.0096875,           0.0096875,           0.0096875
                  40,            0.030175,            0.020653,           0.0016914,             0.91259,             0.90521,             0.94218,             0.60678,            0.029364,            0.011718,          0.00077606,            0.009671,            0.009671,            0.009671
                  41,            0.029977,            0.020496,           0.0013963,             0.88452,             0.89219,             0.93256,             0.58844,            0.029817,            0.012571,          0.00061203,           0.0096542,           0.0096542,           0.0096542
                  42,            0.029351,            0.019864,           0.0014944,             0.90578,             0.88817,             0.94309,             0.59553,            0.029222,            0.012158,             0.00074,           0.0096369,           0.0096369,           0.0096369
                  43,            0.029119,            0.019994,           0.0014567,             0.91269,             0.86893,             0.93646,             0.58414,            0.029368,            0.012609,          0.00051375,           0.0096193,           0.0096193,           0.0096193
                  44,            0.028635,            0.019632,           0.0015196,             0.93486,             0.90616,             0.95835,              0.6219,            0.027988,            0.011376,          0.00067066,           0.0096013,           0.0096013,           0.0096013
                  45,              0.0286,             0.01916,           0.0013946,             0.91395,             0.91874,             0.95582,             0.63094,              0.0275,            0.011363,          0.00037444,           0.0095828,           0.0095828,           0.0095828
                  46,            0.028504,            0.019469,           0.0014135,             0.91005,             0.90038,             0.95071,             0.62383,            0.027817,            0.011437,          0.00068855,            0.009564,            0.009564,            0.009564
                  47,            0.028313,             0.01913,           0.0013807,             0.92418,             0.91153,             0.96012,             0.64625,            0.027258,              0.0111,          0.00034599,           0.0095448,           0.0095448,           0.0095448
                  48,            0.027541,            0.019174,           0.0013755,             0.91987,             0.93207,             0.96247,             0.65069,            0.026881,            0.010779,          0.00036044,           0.0095252,           0.0095252,           0.0095252
                  49,            0.027772,            0.018945,           0.0012434,             0.92944,             0.92408,             0.96241,             0.65813,            0.026393,            0.010668,          0.00032455,           0.0095052,           0.0095052,           0.0095052
                  50,            0.027551,            0.018927,           0.0012525,             0.90441,             0.85364,              0.9245,             0.59276,            0.028651,            0.012957,          0.00060713,           0.0094849,           0.0094849,           0.0094849
                  51,            0.027608,             0.01843,           0.0010932,             0.92993,             0.92307,             0.96164,             0.66068,            0.026221,            0.010437,          0.00030595,           0.0094641,           0.0094641,           0.0094641
                  52,            0.027125,            0.018678,             0.00124,              0.9436,             0.90758,             0.96664,             0.66297,            0.026067,            0.010686,          0.00049365,            0.009443,            0.009443,            0.009443
                  53,            0.027058,            0.018836,           0.0011875,             0.92984,             0.93529,              0.9687,             0.66702,            0.025639,            0.010372,          0.00032517,           0.0094215,           0.0094215,           0.0094215
                  54,            0.026817,            0.018609,           0.0012793,             0.93692,             0.92143,              0.9693,             0.66704,            0.025128,             0.01054,          0.00042615,           0.0093996,           0.0093996,           0.0093996
                  55,            0.026513,             0.01826,           0.0010926,             0.94165,             0.92406,             0.96979,             0.67927,            0.024992,            0.010372,          0.00036244,           0.0093773,           0.0093773,           0.0093773
                  56,            0.026748,            0.018082,           0.0011989,             0.94204,             0.92906,             0.97045,             0.67946,            0.024948,            0.010281,          0.00038382,           0.0093547,           0.0093547,           0.0093547
                  57,            0.026077,            0.018021,           0.0010038,             0.94619,             0.95043,             0.97425,             0.69446,            0.024105,           0.0099123,          0.00036419,           0.0093317,           0.0093317,           0.0093317
                  58,            0.026234,             0.01791,           0.0011608,             0.94751,             0.93311,             0.97186,             0.68894,            0.024203,           0.0099955,          0.00029662,           0.0093083,           0.0093083,           0.0093083
                  59,            0.025955,             0.01769,           0.0011783,              0.9428,             0.94186,             0.97249,             0.69097,            0.024383,            0.010074,          0.00024324,           0.0092846,           0.0092846,           0.0092846
                  60,            0.025711,            0.017921,           0.0013264,             0.94874,             0.94416,             0.97362,             0.69508,            0.024248,            0.010125,          0.00029034,           0.0092605,           0.0092605,           0.0092605
